Crop	Product	Quantity(In '000 MTS)	 N(In '000 MTS)	 P(In '000 MTS)	K(In '000 MTS)
0.1	UREA	1301.2	598.552	0	0
0.1	DAP	39.9	7.182	18.354	0
0.1	A/S	170.2	35.742	0	0
0.1	20:20	43.7	8.74	8.74	0
0.1	15:15:15	4.1	0.615	0.615	0.615
0.1	17:17:17	225	38.25	38.25	38.25
0.1	SSP	19.4	0	3.104	0
0.1	10:26:26	45.3	4.53	11.778	11.778
0.1	12:32:16	326.7	39.204	104.544	52.272
0.1	28:28:00	15.3	4.284	4.284	0
0.1	14:35:14	0	0	0	0
0.1	19:19:19	7.9	1.501	1.501	1.501
0.1	16:20	10.8	1.728	2.16	0
0.1	CAN	10.6	2.65	0	0
0.1	23:23	15.2	3.496	3.496	0
0.1	14:28:14	0	0	0	0
0.2	UREA	1813.4	834.164	0	0
0.2	DAP	22.6	4.068	10.396	0
0.2	A/S	234.9	49.329	0	0
0.2	20:20	31.9	6.38	6.38	0
0.2	15:15:15	5.5	0.825	0.825	0.825
0.2	17:17:17	225	38.25	38.25	38.25
0.2	SSP	32.4	0	5.184	0
0.2	10:26:26	20.8	2.08	5.408	5.408
0.2	12:32:16	188.1	22.572	60.192	30.096
0.2	28:28:00	31.7	8.876	8.876	0
0.2	14:35:14	0	0	0	0
0.2	19:19:19	0	0	0	0
0.2	16:20	10	1.6	2	0
0.2	CAN	7.1	1.775	0	0
0.2	23:23	10.8	2.484	2.484	0
0.2	14:28:14	0	0	0	0
0.3	UREA	1834	843.64	0	0
0.3	DAP	35.5	6.39	16.33	0
0.3	A/S	241.3	50.673	0	0
0.3	20:20	42.7	8.54	8.54	0
0.3	15:15:15	16.9	2.535	2.535	2.535
0.3	17:17:17	225	38.25	38.25	38.25
0.3	SSP	157.1	0	25.136	0
0.3	10:26:26	73.6	7.36	19.136	19.136
0.3	12:32:16	133.4	16.008	42.688	21.344
0.3	28:28:00	23	6.44	6.44	0
0.3	14:35:14	23.6	3.304	8.26	3.304
0.3	19:19:19	0.8	0.152	0.152	0.152
0.3	16:20	25	4	5	0
0.3	CAN	6	1.5	0	0
0.3	23:23	46	10.58	10.58	0
0.3	14:28:14	0	0	0	0
0.4	UREA	1971.4	906.844	0	0
0.4	DAP	34.5	6.21	15.87	0
0.4	A/S	338.4	71.064	0	0
0.4	20:20	42.3	8.46	8.46	0
0.4	15:15:15	13	1.95	1.95	1.95
0.4	17:17:17	225	38.25	38.25	38.25
0.4	SSP	88.3	0	14.128	0
0.4	10:26:26	100.9	10.09	26.234	26.234
0.4	12:32:16	324.1	38.892	103.712	51.856
0.4	28:28:00	18.2	5.096	5.096	0
0.4	14:35:14	0	0	0	0
0.4	19:19:19	0	0	0	0
0.4	16:20	24	3.84	4.8	0
0.4	CAN	11.1	2.775	0	0
